Counties	2012	2013	D_2014	RR_2014	P_2013	P_2014	R_2014	State	fips
Autauga	35106.00	35230.00	36419.00	12.00	0.40	3.40	36.00	Alabama	1001
Baldwin	38228.00	37922.00	39040.00	5.00	-0.80	2.90	46.00	Alabama	1003
Barbour	28431.00	30428.00	30449.00	52.00	7.00	0.10	62.00	Alabama	1005
Bibb	27109.00	27450.00	28314.00	64.00	1.30	3.10	43.00	Alabama	1007
Blount	29513.00	29984.00	31464.00	43.00	1.60	4.90	4.00	Alabama	1009
Bullock	24541.00	26948.00	26934.00	67.00	9.80	-0.10	63.00	Alabama	1011
Butler	30240.00	31457.00	32954.00	30.00	4.00	4.80	6.00	Alabama	1013
Calhoun	32006.00	31571.00	32753.00	31.00	-1.40	3.70	30.00	Alabama	1015
Chambers	30047.00	30379.00	31657.00	40.00	1.10	4.20	13.00	Alabama	1017
Cherokee	29634.00	30846.00	32034.00	34.00	4.10	3.90	25.00	Alabama	1019
Chilton	28664.00	28834.00	29941.00	57.00	0.60	3.80	27.00	Alabama	1021
Choctaw	28994.00	29505.00	30263.00	53.00	1.80	2.60	54.00	Alabama	1023
Clarke	29684.00	30588.00	32149.00	33.00	3.00	5.10	3.00	Alabama	1025
Clay	29936.00	30619.00	32028.00	35.00	2.30	4.60	10.00	Alabama	1027
Cleburne	29260.00	29988.00	30954.00	47.00	2.50	3.20	40.00	Alabama	1029
Coffee	36887.00	37919.00	38941.00	6.00	2.80	2.70	52.00	Alabama	1031
Colbert	32910.00	33419.00	34616.00	22.00	1.50	3.60	33.00	Alabama	1033
Conecuh	27846.00	29471.00	30009.00	56.00	5.80	1.80	59.00	Alabama	1035
Coosa	25765.00	26291.00	27057.00	66.00	2.00	2.90	47.00	Alabama	1037
Covington	30396.00	30630.00	31568.00	42.00	0.80	3.10	45.00	Alabama	1039
Crenshaw	30373.00	33251.00	34461.00	23.00	9.50	3.60	32.00	Alabama	1041
Cullman	32673.00	34190.00	35548.00	14.00	4.60	4.00	23.00	Alabama	1043
Dale	31727.00	32348.00	33274.00	28.00	2.00	2.90	50.00	Alabama	1045
Dallas	29772.00	30317.00	31103.00	46.00	1.80	2.60	53.00	Alabama	1047
DeKalb	27706.00	28622.00	29724.00	59.00	3.30	3.90	26.00	Alabama	1049
Elmore	35597.00	35390.00	36528.00	11.00	-0.60	3.20	41.00	Alabama	1051
Escambia	29930.00	29546.00	30755.00	50.00	-1.30	4.10	18.00	Alabama	1053
Etowah	31875.00	31861.00	33374.00	27.00	0.00	4.70	7.00	Alabama	1055
Fayette	28530.00	28916.00	29890.00	58.00	1.40	3.40	37.00	Alabama	1057
Franklin	28543.00	29097.00	30509.00	51.00	1.90	4.90	5.00	Alabama	1059
Geneva	29677.00	30755.00	31722.00	38.00	3.60	3.10	44.00	Alabama	1061
Greene	29326.00	32592.00	31745.00	37.00	11.10	-2.60	65.00	Alabama	1063
Hale	32272.00	34241.00	34953.00	21.00	6.10	2.10	57.00	Alabama	1065
Henry	33379.00	34542.00	35273.00	17.00	3.50	2.10	56.00	Alabama	1067
Houston	36566.00	36270.00	37316.00	8.00	-0.80	2.90	48.00	Alabama	1069
Jackson	31751.00	32420.00	33550.00	25.00	2.10	3.50	35.00	Alabama	1071
Jefferson	47156.00	46631.00	48582.00	1.00	-1.10	4.20	15.00	Alabama	1073
Lamar	29000.00	29300.00	30143.00	55.00	1.00	2.90	49.00	Alabama	1075
Lauderdale	32436.00	32574.00	33933.00	24.00	0.40	4.20	16.00	Alabama	1077
Lawrence	29297.00	30987.00	31667.00	39.00	5.80	2.20	55.00	Alabama	1079
Lee	31991.00	31852.00	33064.00	29.00	-0.40	3.80	28.00	Alabama	1081
Limestone	36853.00	36713.00	37435.00	7.00	-0.40	2.00	58.00	Alabama	1083
Lowndes	33634.00	35608.00	36082.00	13.00	5.90	1.30	61.00	Alabama	1085
Macon	27969.00	29587.00	30828.00	48.00	5.80	4.20	14.00	Alabama	1087
Madison	43558.00	43147.00	44517.00	3.00	-0.90	3.20	42.00	Alabama	1089
Marengo	34376.00	35770.00	37235.00	9.00	4.10	4.10	17.00	Alabama	1091
Marion	27086.00	27493.00	28783.00	63.00	1.50	4.70	8.00	Alabama	1093
Marshall	30452.00	30721.00	31796.00	36.00	0.90	3.50	34.00	Alabama	1095
Mobile	33267.00	33685.00	35031.00	20.00	1.30	4.00	21.00	Alabama	1097
Monroe	29306.00	29966.00	30799.00	49.00	2.30	2.80	51.00	Alabama	1099
Montgomery	39248.00	39443.00	41008.00	4.00	0.50	4.00	24.00	Alabama	1101
Morgan	33721.00	34055.00	35188.00	18.00	1.00	3.30	39.00	Alabama	1103
Perry	28208.00	30345.00	29647.00	61.00	7.60	-2.30	64.00	Alabama	1105
Pickens	30118.00	31275.00	30233.00	54.00	3.80	-3.30	67.00	Alabama	1107
