State	fips	County	Population	Land_Miles	Water_miles	TotalArea_miles	Latitude	Longitude
AK	2013	Aleutians East	2697.00	6988.14	8023.46	15011.61	55.13	-162.03
AK	2016	Aleutians West 	5465.00	4396.77	9719.74	14116.51	52.32	-172.45
AK	2020	Anchorage	260283.00	1697.22	263.88	1961.10	61.19	-149.76
AK	2050	Bethel 	16006.00	40633.31	4875.15	45508.46	60.89	-161.19
AK	2060	Bristol Bay	1258.00	504.92	382.77	887.68	58.69	-156.79
AK	2068	Denali	1893.00	12749.65	24.88	12774.53	63.89	-149.10
AK	2070	Dillingham 	4922.00	18674.78	2253.63	20928.41	59.19	-158.61
AK	2090	Fairbanks North Star	82840.00	7366.24	77.78	7444.02	64.82	-147.57
AK	2100	Haines	2392.00	2343.73	382.09	2725.82	59.25	-135.53
AK	2110	Juneau	30711.00	2716.67	538.34	3255.01	58.35	-134.51
AK	2122	Kenai Peninsula	49691.00	16013.26	8741.34	24754.60	60.35	-150.99
AK	2130	Ketchikan Gateway	14070.00	1233.22	520.75	1753.98	55.35	-131.62
AK	2150	Kodiak Island	13913.00	6559.85	5463.83	12023.68	57.69	-152.68
AK	2164	Lake and Peninsula	1823.00	23781.96	7125.00	30906.96	58.61	-156.41
AK	2170	Matanuska-Susitna	59322.00	24681.54	578.25	25259.79	61.76	-149.48
AK	2180	Nome 	9196.00	23000.91	5282.42	28283.33	64.81	-164.35
AK	2185	North Slope	7385.00	88817.12	5945.53	94762.65	70.6	-153.94
AK	2188	Northwest Arctic	7208.00	35898.34	4863.66	40762.00	66.82	-160.65
AK	2201	Prince of Wales-Outer Ketchikan 	6146.00	7410.62	5295.67	12706.30	55.55	-132.58
AK	2220	Sitka	8835.00	2873.98	1937.55	4811.53	57.08	-135.33
AK	2232	Skagway-Hoonah-Angoon 	3436.00	7896.48	3480.25	11376.73	58.32	-135.46
AK	2240	Southeast Fairbanks 	6174.00	24814.86	246.33	25061.19	63.61	-143.91
AK	2261	Valdez-Cordova 	10195.00	34319.10	5880.05	40199.15	61.46	-145.33
AK	2270	Wade Hampton 	7028.00	17193.50	2475.74	19669.24	62.08	-163.74
AK	2280	Wrangell-Petersburg 	6684.00	5834.94	3186.27	9021.21	56.71	-133.07
AK	2282	Yakutat	808.00	7650.46	1808.82	9459.28	59.79	-140.27
AK	2290	Yukon-Koyukuk 	6551.00	145899.69	1942.83	147842.51	65.13	-151.85
AL	1001	Autauga	43671.00	595.97	8.48	604.45	32.52	-86.58
AL	1003	Baldwin	140415.00	1596.35	430.58	2026.93	30.59	-87.75
AL	1005	Barbour	29038.00	884.90	19.61	904.52	31.86	-85.33
AL	1007	Bibb	20826.00	623.03	3.14	626.16	33.04	-87.12
AL	1009	Blount	51024.00	645.59	5.02	650.60	33.98	-86.55
AL	1011	Bullock	11714.00	625.01	1.04	626.06	32.1	-85.70
AL	1013	Butler	21399.00	776.87	1.06	777.92	31.74	-86.66
AL	1015	Calhoun	112249.00	608.46	3.86	612.32	33.74	-85.82
AL	1017	Chambers	36583.00	597.17	5.94	603.11	32.89	-85.29
AL	1019	Cherokee	23988.00	553.12	46.83	599.95	34.18	-85.62
AL	1021	Chilton	39593.00	693.98	6.78	700.76	32.85	-86.69
AL	1023	Choctaw	15922.00	913.51	7.34	920.85	32.03	-88.26
AL	1025	Clarke	27867.00	1238.38	14.13	1252.51	31.69	-87.83
AL	1027	Clay	14254.00	605.07	0.93	606.00	33.27	-85.84
AL	1029	Cleburne	14123.00	560.21	0.81	561.02	33.65	-85.51
AL	1031	Coffee	43615.00	678.99	1.49	680.48	31.38	-85.96
AL	1033	Colbert	54984.00	594.53	29.08	623.61	34.73	-87.73
AL	1035	Conecuh	14089.00	850.79	1.71	852.51	31.42	-87.00
AL	1037	Coosa	12202.00	652.44	13.92	666.36	32.96	-86.24
AL	1039	Covington	37631.00	1033.82	10.05	1043.86	31.25	-86.42
AL	1041	Crenshaw	13665.00	609.58	1.30	610.88	31.71	-86.29
AL	1043	Cullman	77483.00	738.43	16.39	754.82	34.16	-86.83
AL	1045	Dale	49129.00	561.07	1.60	562.68	31.39	-85.62
AL	1047	Dallas	46365.00	980.71	12.66	993.37	32.38	-87.07
AL	1049	DeKalb	64452.00	777.91	0.74	778.65	34.46	-85.80
AL	1051	Elmore	65874.00	621.26	35.96	657.21	32.6	-86.17
AL	1053	Escambia	38440.00	947.38	5.57	952.95	31.1	-87.23
AL	1055	Etowah	103459.00	534.82	13.93	548.75	34.02	-86.03
AL	1057	Fayette	18495.00	627.66	1.68	629.34	33.75	-87.75
AL	1059	Franklin	31223.00	635.65	10.87	646.51	34.47	-87.83
AL	1061	Geneva	25764.00	576.28	2.62	578.90	31.09	-85.80
AL	1063	Greene	9974.00	645.87	14.07	659.93	32.84	-87.95
AL	1065	Hale	17185.00	643.74	12.74	656.47	32.77	-87.64
AL	1067	Henry	16310.00	561.80	6.53	568.33	31.49	-85.25
AL	1069	Houston	88787.00	580.36	1.29	581.65	31.19	-85.35
AL	1071	Jackson	53926.00	1078.74	48.02	1126.77	34.76	-85.95
AL	1073	Jefferson	662047.00	1112.61	11.20	1123.80	33.53	-86.83
AL	1075	Lamar	15904.00	604.85	0.62	605.47	33.77	-88.08
AL	1077	Lauderdale	87966.00	669.46	49.32	718.78	34.88	-87.61
AL	1079	Lawrence	34803.00	693.38	24.69	718.07	34.55	-87.30
AL	1081	Lee	115092.00	608.71	6.84	615.55	32.61	-85.33
AL	1083	Limestone	65676.00	568.05	39.03	607.08	34.81	-86.97
AL	1085	Lowndes	13473.00	717.94	7.10	725.03	32.17	-86.66
AL	1087	Macon	24105.00	610.52	2.72	613.24	32.42	-85.72
AL	1089	Madison	276700.00	804.92	7.93	812.85	34.73	-86.59
AL	1091	Marengo	22539.00	977.05	5.81	982.85	32.33	-87.79
AL	1093	Marion	31214.00	741.42	2.16	743.57	34.12	-87.88
AL	1095	Marshall	82231.00	567.06	56.10	623.16	34.33	-86.29
AL	1097	Mobile	399843.00	1233.09	410.93	1644.02	30.72	-88.14
AL	1099	Monroe	24324.00	1025.86	8.67	1034.53	31.56	-87.36
AL	1101	Montgomery	223510.00	789.76	9.99	799.76	32.33	-86.26
AL	1103	Morgan	111064.00	582.21	16.85	599.06	34.51	-86.92
AL	1105	Perry	11861.00	719.48	4.59	724.08	32.61	-87.33
AL	1107	Pickens	20949.00	881.42	8.63	890.05	33.27	-88.09
AL	1109	Pike	29605.00	671.03	1.06	672.10	31.79	-85.94
AL	1111	Randolph	22380.00	581.05	3.06	584.11	33.26	-85.45
AL	1113	Russell	49756.00	641.32	6.06	647.38	32.38	-85.10
AL	1115	St. Clair	64742.00	633.75	19.86	653.61	33.67	-86.33
AL	1117	Shelby	143293.00	794.69	14.83	809.53	33.27	-86.70
AL	1119	Sumter	14798.00	904.94	8.37	913.30	32.56	-88.22
AL	1121	Talladega	80321.00	739.53	20.72	760.25	33.37	-86.18
AL	1123	Tallapoosa	41475.00	717.93	48.30	766.23	32.85	-85.84
AL	1125	Tuscaloosa	164875.00	1324.37	26.86	1351.23	33.24	-87.51
AL	1127	Walker	70713.00	794.39	10.91	805.30	33.82	-87.29
AL	1129	Washington	18097.00	1080.66	7.89	1088.54	31.37	-88.15
AL	1131	Wilcox	13183.00	888.68	18.78	907.46	31.99	-87.35
AL	1133	Winston	24843.00	614.44	17.42	631.86	34.15	-87.42
AR	5001	Arkansas	20749.00	988.49	45.30	1033.79	34.36	-91.43
AR	5003	Ashley	24209.00	921.15	17.93	939.08	33.19	-91.79
AR	5005	Baxter	38386.00	554.36	32.38	586.74	36.31	-92.35
AR	5007	Benton	153406.00	845.99	34.25	880.24	36.35	-94.25
AR	5009	Boone	33948.00	591.18	10.64	601.82	36.29	-93.07
AR	5011	Bradley	12600.00	650.63	3.75	654.38	33.52	-92.14
AR	5013	Calhoun	5744.00	628.27	4.27	632.54	33.6	-92.51
AR	5015	Carroll	25357.00	630.27	8.54	638.81	36.36	-93.57
AR	5017	Chicot	14117.00	644.03	46.86	690.89	33.31	-91.31
AR	5019	Clark	23546.00	865.43	17.17	882.60	34.07	-93.16
AR	5021	Clay	17609.00	639.30	2.12	641.42	36.36	-90.40
AR	5023	Cleburne	24046.00	553.05	38.86	591.91	35.54	-92.06
AR	5025	Cleveland	8571.00	597.74	1.06	598.80	33.9	-92.22
AR	5027	Columbia	25603.00	766.11	0.75	766.86	33.25	-93.23
AR	5029	Conway	20336.00	556.15	10.51	566.66	35.21	-92.71
AR	5031	Craighead	82148.00	710.84	2.14	712.98	35.83	-90.63
AR	5033	Crawford	53247.00	595.39	8.81	604.20	35.52	-94.26
AR	5035	Crittenden	50866.00	610.17	26.52	636.69	35.2	-90.27
AR	5037	Cross	19526.00	615.85	6.49	622.33	35.28	-90.79
AR	5039	Dallas	9210.00	667.42	0.74	668.16	33.94	-92.61
AR	5041	Desha	15341.00	764.99	54.53	819.52	33.79	-91.35
AR	5043	Drew	18723.00	828.18	7.47	835.65	33.6	-91.74
AR	5045	Faulkner	86014.00	647.38	16.63	664.01	35.12	-92.38
AR	5047	Franklin	17771.00	609.56	10.13	619.69	35.48	-93.88
AR	5049	Fulton	11642.00	618.16	2.16	620.32	36.36	-91.73
AR	5051	Garland	88068.00	677.22	57.35	734.57	34.55	-93.08
AR	5053	Grant	16464.00	631.78	1.23	633.01	34.31	-92.45
AR	5055	Greene	37331.00	577.51	2.14	579.65	36.1	-90.51
AR	5057	Hempstead	23587.00	728.77	12.59	741.36	33.72	-93.65
AR	5059	Hot Spring	30353.00	614.93	7.22	622.16	34.34	-92.89
AR	5061	Howard	14300.00	587.42	7.78	595.20	34.05	-93.96
AR	5063	Independence	34233.00	763.78	7.79	771.57	35.76	-91.59
AR	5065	Izard	13249.00	580.68	3.34	584.02	36.14	-91.87
AR	5067	Jackson	18418.00	633.52	7.92	641.45	35.61	-91.23
AR	5069	Jefferson	84278.00	884.82	28.88	913.70	34.24	-91.99
AR	5071	Johnson	22781.00	662.17	20.58	682.74	35.5	-93.48
AR	5073	Lafayette	8559.00	526.50	18.57	545.07	33.27	-93.56
AR	5075	Lawrence	17774.00	586.57	5.78	592.34	36.07	-91.07
AR	5077	Lee	12580.00	601.66	17.80	619.47	34.78	-90.76
AR	5079	Lincoln	14492.00	561.20	10.97	572.17	33.98	-91.71
AR	5081	Little River	13628.00	531.73	33.14	564.87	33.7	-94.22
AR	5083	Logan	22486.00	709.87	21.63	731.50	35.22	-93.76
AR	5085	Lonoke	52828.00	765.96	36.47	802.43	34.78	-91.91
AR	5087	Madison	14243.00	836.81	0.25	837.06	36.03	-93.73
AR	5089	Marion	16140.00	597.70	42.65	640.35	36.29	-92.68
AR	5091	Miller	40443.00	623.98	13.50	637.48	33.38	-93.97
AR	5093	Mississippi	51979.00	898.25	21.48	919.73	35.81	-90.03
AR	5095	Monroe	10254.00	606.65	14.77	621.41	34.73	-91.21
AR	5097	Montgomery	9245.00	780.93	19.36	800.29	34.56	-93.64
AR	5099	Nevada	9955.00	619.95	0.83	620.78	33.69	-93.33
AR	5101	Newton	8608.00	822.97	0.21	823.18	35.97	-93.19
AR	5103	Ouachita	28790.00	732.45	7.18	739.63	33.57	-92.86
AR	5105	Perry	10209.00	550.94	9.53	560.47	34.98	-92.86
AR	5107	Phillips	26445.00	692.67	34.62	727.29	34.47	-90.76
AR	5109	Pike	11303.00	603.01	10.87	613.88	34.18	-93.66
AR	5111	Poinsett	25614.00	757.74	5.65	763.39	35.59	-90.60
AR	5113	Polk	20229.00	859.38	3.04	862.42	34.49	-94.25
AR	5115	Pope	54469.00	811.90	18.89	830.79	35.33	-93.08
AR	5117	Prairie	9539.00	645.93	29.83	675.76	34.81	-91.53
AR	5119	Pulaski	361474.00	770.82	37.02	807.84	34.77	-92.29
AR	5121	Randolph	18195.00	651.82	4.21	656.04	36.32	-90.99
AR	5123	St. Francis	29329.00	633.84	8.56	642.40	35.02	-90.71
AR	5125	Saline	83529.00	723.46	7.00	730.47	34.62	-92.64
AR	5127	Scott	10996.00	893.88	4.21	898.09	34.88	-94.09
AR	5129	Searcy	8261.00	667.15	1.36	668.51	35.92	-92.69
AR	5131	Sebastian	115071.00	536.24	9.79	546.04	35.29	-94.35
AR	5133	Sevier	15757.00	563.94	17.41	581.35	34.02	-94.26
AR	5135	Sharp	17119.00	604.35	1.99	606.35	36.19	-91.50
AR	5137	Stone	11499.00	606.59	2.84	609.43	35.87	-92.17
AR	5139	Union	45629.00	1038.90	16.37	1055.27	33.21	-92.61
AR	5141	Van Buren	16192.00	711.51	12.81	724.32	35.57	-92.41
AR	5143	Washington	157715.00	949.72	6.29	956.01	36.05	-94.20
AR	5145	White	67165.00	1034.03	8.33	1042.36	35.25	-91.73
AR	5147	Woodruff	8741.00	586.56	7.49	594.05	35.2	-91.24
AR	5149	Yell	21139.00	927.89	20.95	948.84	35.04	-93.36
AZ	4001	Apache	69423.00	11204.88	13.54	11218.42	35.65	-109.45
AZ	4003	Cochise	117755.00	6169.45	49.32	6218.77	31.75	-109.90
AZ	4005	Coconino	116320.00	18617.42	43.79	18661.21	35.77	-111.51
AZ	4007	Gila	51335.00	4767.70	28.03	4795.74	33.71	-110.98
AZ	4009	Graham	33489.00	4629.32	11.83	4641.14	32.87	-109.82
AZ	4011	Greenlee	8547.00	1847.00	1.42	1848.42	33.07	-109.27
AZ	4012	La Paz	19715.00	4499.95	13.40	4513.36	33.86	-114.05
AZ	4013	Maricopa	3072149.00	9203.14	21.13	9224.27	33.49	-112.09
AZ	4015	Mohave	155032.00	13311.64	158.07	13469.71	35.29	-114.08
AZ	4017	Navajo	97470.00	9953.18	6.31	9959.49	35.41	-110.26
AZ	4019	Pima	843746.00	9186.27	2.57	9188.83	32.18	-111.09
AZ	4021	Pinal	179727.00	5369.60	4.50	5374.09	32.97	-111.50
AZ	4023	Santa Cruz	38381.00	1237.63	0.47	1238.11	31.48	-110.91
AZ	4025	Yavapai	167517.00	8123.30	4.48	8127.78	34.65	-112.41
AZ	4027	Yuma	160026.00	5514.09	4.87	5518.96	32.68	-114.39
CA	6001	Alameda	1443741.00	737.57	83.57	821.15	37.72	-122.10
CA	6003	Alpine	1208.00	738.62	4.57	743.19	38.63	-119.89
CA	6005	Amador	35100.00	592.97	11.73	604.69	38.43	-120.72
CA	6007	Butte	203171.00	1639.49	37.62	1677.11	39.65	-121.65
CA	6009	Calaveras	40554.00	1020.04	16.81	1036.84	38.17	-120.56
CA	6011	Colusa	18804.00	1150.68	5.54	1156.22	39.19	-122.15
CA	6013	Contra Costa	948816.00	719.95	82.20	802.15	37.94	-122.06
CA	6015	Del Norte	27507.00	1007.81	221.94	1229.75	41.74	-124.11
CA	6017	El Dorado	156299.00	1710.85	77.25	1788.10	38.77	-120.57
CA	6019	Fresno	799407.00	5962.73	54.70	6017.42	36.64	-119.90
CA	6021	Glenn	26453.00	1314.79	12.36	1327.16	39.63	-122.29
CA	6023	Humboldt	126518.00	3572.49	479.74	4052.23	40.75	-123.99
CA	6025	Imperial	142361.00	4174.73	307.00	4481.73	32.96	-115.49
CA	6027	Inyo	17945.00	10203.10	23.88	10226.98	36.71	-117.69
CA	6029	Kern	661645.00	8140.96	20.46	8161.42	35.3	-118.68
CA	6031	Kings	129461.00	1390.99	0.50	1391.49	36.16	-119.81
CA	6033	Lake	58309.00	1257.96	71.52	1329.48	39.02	-122.75
CA	6035	Lassen	33828.00	4557.27	163.11	4720.37	40.61	-120.72
CA	6037	Los Angeles	9519338.00	4060.87	691.45	4752.32	34.09	-118.23
CA	6039	Madera	123109.00	2135.86	17.46	2153.32	37.04	-120.03
CA	6041	Marin	247289.00	519.80	308.39	828.20	37.99	-122.58
CA	6043	Mariposa	17130.00	1451.12	11.67	1462.79	37.6	-120.00
CA	6045	Mendocino	86265.00	3508.97	369.17	3878.14	39.36	-123.43
CA	6047	Merced	210554.00	1928.70	43.18	1971.87	37.25	-120.67
CA	6049	Modoc	9449.00	3944.10	259.28	4203.37	41.53	-120.79
CA	6051	Mono	12853.00	3044.40	87.40	3131.80	37.85	-118.96
CA	6053	Monterey	401762.00	3321.95	449.12	3771.07	36.45	-121.53
CA	6055	Napa	124279.00	753.73	34.53	788.27	38.35	-122.33
CA	6057	Nevada	92033.00	957.61	16.88	974.49	39.27	-120.81
CA	6059	Orange	2846289.00	789.40	158.57	947.98	33.73	-117.86
CA	6061	Placer	248399.00	1404.37	98.41	1502.78	38.97	-120.95
CA	6063	Plumas	20824.00	2553.70	59.78	2613.48	40.02	-120.85
CA	6065	Riverside	1545387.00	7207.37	95.76	7303.13	33.78	-116.80
CA	6067	Sacramento	1223499.00	965.65	29.83	995.48	38.56	-121.39
CA	6069	San Benito	53234.00	1389.06	1.68	1390.74	36.75	-121.29
CA	6071	San Bernardino	1709434.00	20052.50	52.82	20105.32	34.39	-116.98
CA	6073	San Diego	2813833.00	4199.89	325.62	4525.52	32.9	-117.06
CA	6075	San Francisco	776733.00	46.69	185.22	231.92	37.76	-122.44
CA	6077	San Joaquin	563598.00	1399.28	26.97	1426.25	37.95	-121.28
CA	6079	San Luis Obispo	246681.00	3304.32	311.22	3615.54	35.37	-120.59
CA	6081	San Mateo	707161.00	449.07	291.95	741.01	37.53	-122.33
CA	6083	Santa Barbara	399347.00	2737.01	1052.07	3789.08	34.65	-120.07
CA	6085	Santa Clara	1682585.00	1290.69	13.32	1304.01	37.31	-121.91
CA	6087	Santa Cruz	255602.00	445.24	161.92	607.16	37	-121.97
CA	6089	Shasta	163256.00	3785.20	62.24	3847.44	40.69	-122.12
CA	6091	Sierra	3555.00	953.38	8.59	961.97	39.58	-120.53
CA	6093	Siskiyou	44301.00	6286.79	60.68	6347.46	41.61	-122.50
CA	6095	Solano	394542.00	829.19	77.48	906.67	38.24	-122.05
CA	6097	Sonoma	458614.00	1575.88	192.35	1768.23	38.44	-122.77
CA	6099	Stanislaus	446997.00	1493.79	20.88	1514.67	37.61	-120.96
CA	6101	Sutter	78930.00	602.54	6.04	608.58	39.08	-121.66
CA	6103	Tehama	56039.00	2950.99	11.28	2962.27	40.12	-122.14
CA	6105	Trinity	13022.00	3178.61	28.93	3207.54	40.67	-123.07
CA	6107	Tulare	368021.00	4823.97	15.12	4839.09	36.23	-119.17
CA	6109	Tuolumne	54501.00	2235.42	38.93	2274.34	37.98	-120.23
CA	6111	Ventura	753197.00	1845.30	362.90	2208.20	34.28	-119.05
CA	6113	Yolo	168660.00	1013.27	9.62	1022.89	38.63	-121.78
CA	6115	Yuba	60219.00	630.69	13.04	643.73	39.21	-121.42
CO	8001	Adams	363857.00	1191.93	5.78	1197.71	39.87	-104.87
CO	8003	Alamosa	14966.00	722.74	0.78	723.53	37.51	-105.80
CO	8005	Arapahoe	487967.00	803.15	2.29	805.43	39.64	-104.84
CO	8007	Archuleta	9898.00	1350.23	5.26	1355.48	37.22	-107.11
CO	8009	Baca	4517.00	2555.72	1.37	2557.09	37.35	-102.53
CO	8011	Bent	5998.00	1513.90	27.22	1541.12	38.07	-103.06
CO	8013	Boulder	291288.00	742.46	8.91	751.37	40.06	-105.20
CO	8015	Chaffee	16242.00	1013.45	1.55	1015.01	38.66	-106.09
CO	8017	Cheyenne	2231.00	1781.35	0.02	1781.37	38.82	-102.52
CO	8019	Clear Creek	9322.00	395.45	1.01	396.46	39.72	-105.61
CO	8021	Conejos	8400.00	1287.22	3.65	1290.87	37.19	-106.07
CO	8023	Costilla	3663.00	1227.10	3.34	1230.44	37.29	-105.50
CO	8025	Crowley	5518.00	789.00	11.34	800.33	38.23	-103.79
CO	8027	Custer	3503.00	738.89	1.02	739.90	38.13	-105.42
CO	8029	Delta	27834.00	1142.11	6.42	1148.52	38.81	-107.91
CO	8031	Denver	554636.00	153.35	1.59	154.94	39.73	-104.97
CO	8033	Dolores	1844.00	1066.97	1.13	1068.09	37.76	-108.59
CO	8035	Douglas	175766.00	840.11	2.64	842.75	39.46	-104.89
CO	8037	Eagle	41659.00	1687.88	3.93	1691.80	39.59	-106.71
CO	8039	Elbert	19872.00	1850.78	0.11	1850.89	39.29	-104.29
CO	8041	El Paso	516929.00	2126.45	3.11	2129.56	38.87	-104.75
CO	8043	Fremont	46145.00	1532.93	1.02	1533.95	38.43	-105.30
CO	8045	Garfield	43791.00	2947.06	8.70	2955.76	39.54	-107.65
CO	8047	Gilpin	4757.00	149.87	0.39	150.26	39.84	-105.50
CO	8049	Grand	12442.00	1846.68	22.93	1869.61	40.09	-106.07
CO	8051	Gunnison	13956.00	3238.81	20.93	3259.75	38.61	-107.01
CO	8053	Hinsdale	790.00	1117.69	5.46	1123.14	37.82	-107.27
CO	8055	Huerfano	7862.00	1590.87	2.38	1593.24	37.61	-104.96
CO	8057	Jackson	1577.00	1613.21	7.74	1620.95	40.65	-106.27
CO	8059	Jefferson	527056.00	772.09	5.97	778.06	39.73	-105.14
CO	8061	Kiowa	1622.00	1770.99	14.76	1785.76	38.45	-102.64
CO	8063	Kit Carson	8011.00	2160.87	0.69	2161.56	39.33	-102.55
